YearMonth,Quantity
2021-01-04/2021-01-10,50.0
2021-01-11/2021-01-17,1112.0
2021-01-18/2021-01-24,2418.0
2021-01-25/2021-01-31,3648.0
2021-02-01/2021-02-07,839.76
2021-02-08/2021-02-14,4051.4
2021-02-15/2021-02-21,4049.0
2021-02-22/2021-02-28,4197.0
2021-03-01/2021-03-07,2331.0
2021-03-08/2021-03-14,3427.0
2021-03-15/2021-03-21,2048.0
2021-03-22/2021-03-28,1085.0
2021-03-29/2021-04-04,3098.0
2021-04-05/2021-04-11,3448.0
2021-04-12/2021-04-18,4845.78
2021-04-19/2021-04-25,2821.0
2021-04-26/2021-05-02,4766.0
2021-05-03/2021-05-09,1467.0
2021-05-10/2021-05-16,1002.0
2021-05-17/2021-05-23,5741.4
2021-05-24/2021-05-30,1677.0
2021-05-31/2021-06-06,3753.0
2021-06-07/2021-06-13,2576.0
2021-06-14/2021-06-20,4646.0
2021-06-21/2021-06-27,1671.0
2021-06-28/2021-07-04,1841.0
2021-07-05/2021-07-11,2003.0
2021-07-12/2021-07-18,891.0
2021-07-19/2021-07-25,2117.0
2021-07-26/2021-08-01,2295.0
2021-08-02/2021-08-08,2494.0
2021-08-09/2021-08-15,3102.0
2021-08-16/2021-08-22,1541.0
2021-08-23/2021-08-29,2985.0
2021-08-30/2021-09-05,1211.0
2021-09-06/2021-09-12,2941.0
2021-09-13/2021-09-19,3393.0
2021-09-20/2021-09-26,5905.0
2021-09-27/2021-10-03,3521.0
2021-10-04/2021-10-10,3215.0
2021-10-11/2021-10-17,1677.0
2021-10-18/2021-10-24,1486.0
2021-10-25/2021-10-31,1289.0
2021-11-01/2021-11-07,1597.0
2021-11-08/2021-11-14,2243.0
2021-11-15/2021-11-21,10224.0
2021-11-22/2021-11-28,2457.0
2021-11-29/2021-12-05,1294.0
2021-12-06/2021-12-12,10002.0
2021-12-13/2021-12-19,3338.11
2021-12-20/2021-12-26,748.0
2022-01-03/2022-01-09,982.5
2022-01-10/2022-01-16,486.0
2022-01-17/2022-01-23,3827.71
2022-01-24/2022-01-30,6953.0
2022-01-31/2022-02-06,2800.0
2022-02-07/2022-02-13,6018.22
2022-02-14/2022-02-20,4830.0
2022-02-21/2022-02-27,2861.5
2022-02-28/2022-03-06,3760.0
2022-03-07/2022-03-13,2366.38
2022-03-14/2022-03-20,5304.0
2022-03-21/2022-03-27,2013.0
2022-03-28/2022-04-03,3871.0
2022-04-04/2022-04-10,2244.0
2022-04-11/2022-04-17,2398.0
2022-04-18/2022-04-24,4302.0
2022-04-25/2022-05-01,4151.53
2022-05-02/2022-05-08,1916.0
2022-05-09/2022-05-15,4220.0
2022-05-16/2022-05-22,1813.0
2022-05-23/2022-05-29,2625.0
2022-05-30/2022-06-05,2502.0
2022-06-06/2022-06-12,6686.0
2022-06-13/2022-06-19,3888.0
2022-06-20/2022-06-26,5304.26
2022-06-27/2022-07-03,5724.35
2022-07-04/2022-07-10,5504.58
2022-07-11/2022-07-17,4266.0
2022-07-18/2022-07-24,2769.0
2022-07-25/2022-07-31,3810.0
2022-08-01/2022-08-07,2071.06
2022-08-08/2022-08-14,6217.0
2022-08-15/2022-08-21,2104.0
2022-08-22/2022-08-28,3007.75
2022-08-29/2022-09-04,2501.0
2022-09-05/2022-09-11,1544.0
2022-09-12/2022-09-18,7490.0
2022-09-19/2022-09-25,3336.0
2022-09-26/2022-10-02,2983.0
2022-10-03/2022-10-09,5801.0
2022-10-10/2022-10-16,4332.0
2022-10-17/2022-10-23,1755.0
2022-10-24/2022-10-30,3369.0
2022-10-31/2022-11-06,2383.0
2022-11-07/2022-11-13,1952.0
2022-11-14/2022-11-20,9167.0
2022-11-21/2022-11-27,1506.0
2022-11-28/2022-12-04,2131.0
2022-12-05/2022-12-11,6770.81
2022-12-12/2022-12-18,2348.0
2022-12-19/2022-12-25,341.0
2023-01-02/2023-01-08,48.0
2023-01-09/2023-01-15,2488.0
2023-01-16/2023-01-22,2000.0
2023-01-23/2023-01-29,2233.0
2023-01-30/2023-02-05,2820.0
2023-02-06/2023-02-12,2788.0
2023-02-13/2023-02-19,3222.11
2023-02-20/2023-02-26,5307.0
2023-02-27/2023-03-05,2735.0
2023-03-06/2023-03-12,2270.0
2023-03-13/2023-03-19,4354.0
2023-03-20/2023-03-26,1879.0
2023-03-27/2023-04-02,3258.0
2023-04-03/2023-04-09,1554.0
2023-04-10/2023-04-16,2500.0
2023-04-17/2023-04-23,2046.0
2023-04-24/2023-04-30,749.0
2023-05-01/2023-05-07,719.0
2023-05-08/2023-05-14,2794.11
2023-05-15/2023-05-21,538.0
2023-05-22/2023-05-28,7730.0
2023-05-29/2023-06-04,3442.0
2023-06-05/2023-06-11,1847.0
2023-06-12/2023-06-18,4308.0
2023-06-19/2023-06-25,2693.0
2023-06-26/2023-07-02,2883.0
2023-07-03/2023-07-09,715.0
2023-07-10/2023-07-16,2660.0
2023-07-17/2023-07-23,2598.0
2023-07-24/2023-07-30,5163.0
2023-07-31/2023-08-06,780.0
2023-08-07/2023-08-13,5610.38
2023-08-14/2023-08-20,354.0
2023-08-21/2023-08-27,6222.0
2023-08-28/2023-09-03,1642.0
2023-09-04/2023-09-10,4265.0
2023-09-11/2023-09-17,938.0
2023-09-18/2023-09-24,4827.0
2023-09-25/2023-10-01,6671.0
2023-10-02/2023-10-08,1.0
