,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-04,490.79776871999997,-10731.570247017313,10865.016729027031,490.79776871999997,490.79776871999997,-1063.927852034936,-1063.927852034936,-1063.927852034936,-1063.927852034936,-1063.927852034936,-1063.927852034936,0.0,0.0,0.0,-573.130083314936
1,2021-01-11,492.8051007527272,-10932.609039287134,10774.883996959592,492.8051007527272,492.8051007527272,-641.6754399489797,-641.6754399489797,-641.6754399489797,-641.6754399489797,-641.6754399489797,-641.6754399489797,0.0,0.0,0.0,-148.87033919625253
2,2021-01-18,494.8124327854545,-11300.763350489056,10592.601326694476,494.8124327854545,494.8124327854545,-461.32056899165065,-461.32056899165065,-461.32056899165065,-461.32056899165065,-461.32056899165065,-461.32056899165065,0.0,0.0,0.0,33.49186379380387
3,2021-01-25,496.8197648181818,-10718.14004223031,11177.167655577337,496.8197648181818,496.8197648181818,-447.6060610659502,-447.6060610659502,-447.6060610659502,-447.6060610659502,-447.6060610659502,-447.6060610659502,0.0,0.0,0.0,49.213703752231595
4,2021-02-01,498.82709685090913,-11277.00420843941,9956.293711375118,498.82709685090913,498.82709685090913,-305.9791421778596,-305.9791421778596,-305.9791421778596,-305.9791421778596,-305.9791421778596,-305.9791421778596,0.0,0.0,0.0,192.84795467304951
5,2021-02-08,500.83442888363635,-10945.863995333293,11409.606524338795,500.83442888363635,500.83442888363635,27.620549944352625,27.620549944352625,27.620549944352625,27.620549944352625,27.620549944352625,27.620549944352625,0.0,0.0,0.0,528.454978827989
6,2021-02-15,502.84176091636357,-10687.440761756805,11300.320087680859,502.84176091636357,502.84176091636357,271.54614102538403,271.54614102538403,271.54614102538403,271.54614102538403,271.54614102538403,271.54614102538403,0.0,0.0,0.0,774.3879019417476
7,2021-02-22,504.84911863727854,-9781.082927416846,12360.1174758822,504.84911863727854,504.84911863727854,163.44805242832936,163.44805242832936,163.44805242832936,163.44805242832936,163.44805242832936,163.44805242832936,0.0,0.0,0.0,668.2971710656079
8,2021-03-01,506.85647635819345,-11071.772161623054,12225.748278321347,506.85647635819345,506.85647635819345,-160.6031402908372,-160.6031402908372,-160.6031402908372,-160.6031402908372,-160.6031402908372,-160.6031402908372,0.0,0.0,0.0,346.25333606735626
9,2021-03-08,508.86404476923656,-10734.840001272009,10757.4831340376,508.86404476923656,508.86404476923656,-280.9771814875609,-280.9771814875609,-280.9771814875609,-280.9771814875609,-280.9771814875609,-280.9771814875609,0.0,0.0,0.0,227.88686328167563
10,2021-03-15,510.8716131802795,-9860.805877603123,11832.917968645457,510.8716131802795,510.8716131802795,-2.72968577296549,-2.72968577296549,-2.72968577296549,-2.72968577296549,-2.72968577296549,-2.72968577296549,0.0,0.0,0.0,508.14192740731403
11,2021-03-22,512.8791815913225,-10023.856400837612,11938.156450356671,512.8791815913225,512.8791815913225,364.46508673569525,364.46508673569525,364.46508673569525,364.46508673569525,364.46508673569525,364.46508673569525,0.0,0.0,0.0,877.3442683270177
12,2021-03-29,514.8867500023655,-9762.934038634723,12304.91511213257,514.8867500023655,514.8867500023655,339.59311350546204,339.59311350546204,339.59311350546204,339.59311350546204,339.59311350546204,339.59311350546204,0.0,0.0,0.0,854.4798635078275
13,2021-04-05,516.8945529537234,-10031.80305349666,11363.33662836645,516.8945529537234,516.8945529537234,-144.05252834554196,-144.05252834554196,-144.05252834554196,-144.05252834554196,-144.05252834554196,-144.05252834554196,0.0,0.0,0.0,372.8420246081814
14,2021-04-12,518.9023559050812,-10419.44516050298,11656.73215374697,518.9023559050812,518.9023559050812,-609.4899749765867,-609.4899749765867,-609.4899749765867,-609.4899749765867,-609.4899749765867,-609.4899749765867,0.0,0.0,0.0,-90.58761907150551
15,2021-04-19,520.910158856439,-11482.37433071187,11061.805556360117,520.910158856439,520.910158856439,-559.217708395167,-559.217708395167,-559.217708395167,-559.217708395167,-559.217708395167,-559.217708395167,0.0,0.0,0.0,-38.30754953872804
16,2021-04-26,522.917961807797,-9471.3982900995,11118.882907499761,522.917961807797,522.917961807797,-58.918962647890446,-58.918962647890446,-58.918962647890446,-58.918962647890446,-58.918962647890446,-58.918962647890446,0.0,0.0,0.0,463.9989991599066
17,2021-05-03,524.9255698995894,-10069.847056383884,12281.16229671432,524.9255698995894,524.9255698995894,318.1188428494562,318.1188428494562,318.1188428494562,318.1188428494562,318.1188428494562,318.1188428494562,0.0,0.0,0.0,843.0444127490456
18,2021-05-10,526.9331779913819,-10576.950589411737,12034.22936143121,526.9331779913819,526.9331779913819,148.82457995093134,148.82457995093134,148.82457995093134,148.82457995093134,148.82457995093134,148.82457995093134,0.0,0.0,0.0,675.7577579423132
19,2021-05-17,528.9407860831743,-10117.831723183446,11178.526399784183,528.9407860831743,528.9407860831743,-338.0607232865455,-338.0607232865455,-338.0607232865455,-338.0607232865455,-338.0607232865455,-338.0607232865455,0.0,0.0,0.0,190.8800627966288
20,2021-05-24,530.9483941749667,-11788.172456627079,11764.821042147727,530.9483941749667,530.9483941749667,-512.1931998103095,-512.1931998103095,-512.1931998103095,-512.1931998103095,-512.1931998103095,-512.1931998103095,0.0,0.0,0.0,18.7551943646572
21,2021-05-31,532.9557365931204,-10544.104013575945,11011.07844453658,532.9557365931204,532.9557365931204,-66.31452741762746,-66.31452741762746,-66.31452741762746,-66.31452741762746,-66.31452741762746,-66.31452741762746,0.0,0.0,0.0,466.6412091754929
22,2021-06-07,534.9630790112741,-9464.985303795223,11828.787522790308,534.9630790112741,534.9630790112741,619.2841002647895,619.2841002647895,619.2841002647895,619.2841002647895,619.2841002647895,619.2841002647895,0.0,0.0,0.0,1154.2471792760634
23,2021-06-14,536.9704214294278,-9251.253890735477,11920.788194081484,536.9704214294278,536.9704214294278,890.9920268080132,890.9920268080132,890.9920268080132,890.9920268080132,890.9920268080132,890.9920268080132,0.0,0.0,0.0,1427.962448237441
24,2021-06-21,538.9777638475815,-9862.801078951963,11850.751214605001,538.9777638475815,538.9777638475815,535.3672851644061,535.3672851644061,535.3672851644061,535.3672851644061,535.3672851644061,535.3672851644061,0.0,0.0,0.0,1074.3450490119876
25,2021-06-28,540.9849026587535,-9914.524868889263,12005.394384801024,540.9849026587535,540.9849026587535,-16.163990074008726,-16.163990074008726,-16.163990074008726,-16.163990074008726,-16.163990074008726,-16.163990074008726,0.0,0.0,0.0,524.8209125847447
26,2021-07-05,542.9920414699257,-11064.003698898128,12628.792758462769,542.9920414699257,542.9920414699257,-194.3569518684742,-194.3569518684742,-194.3569518684742,-194.3569518684742,-194.3569518684742,-194.3569518684742,0.0,0.0,0.0,348.63508960145145
27,2021-07-12,544.9991802810976,-10322.320217127495,12281.432064260593,544.9991802810976,544.9991802810976,94.47627795651813,94.47627795651813,94.47627795651813,94.47627795651813,94.47627795651813,94.47627795651813,0.0,0.0,0.0,639.4754582376157
28,2021-07-19,547.0063190922697,-9486.688224036025,10907.721182306357,547.0063190922697,547.0063190922697,431.3775426587617,431.3775426587617,431.3775426587617,431.3775426587617,431.3775426587617,431.3775426587617,0.0,0.0,0.0,978.3838617510314
29,2021-07-26,549.0134579034417,-10529.21877097846,12104.23127049548,549.0134579034417,549.0134579034417,408.6087035329928,408.6087035329928,408.6087035329928,408.6087035329928,408.6087035329928,408.6087035329928,0.0,0.0,0.0,957.6221614364345
30,2021-08-02,551.0205967146137,-10921.030110454174,10664.643663678504,551.0205967146137,551.0205967146137,74.95400516205305,74.95400516205305,74.95400516205305,74.95400516205305,74.95400516205305,74.95400516205305,0.0,0.0,0.0,625.9746018766667
31,2021-08-09,553.0266605152862,-10835.300097563468,10764.06778922592,553.0266605152862,553.0266605152862,-183.64603903374578,-183.64603903374578,-183.64603903374578,-183.64603903374578,-183.64603903374578,-183.64603903374578,0.0,0.0,0.0,369.3806214815404
32,2021-08-16,555.0327243159587,-10698.229322409867,10627.885852336303,555.0327243159587,555.0327243159587,-126.41135803296157,-126.41135803296157,-126.41135803296157,-126.41135803296157,-126.41135803296157,-126.41135803296157,0.0,0.0,0.0,428.62136628299714
33,2021-08-23,557.0387881166312,-11061.993584084257,10855.706353758262,557.0387881166312,557.0387881166312,86.84900788997403,86.84900788997403,86.84900788997403,86.84900788997403,86.84900788997403,86.84900788997403,0.0,0.0,0.0,643.8877960066052
34,2021-08-30,559.0448519173036,-9761.91776630797,12332.01005960108,559.0448519173036,559.0448519173036,133.25144505123518,133.25144505123518,133.25144505123518,133.25144505123518,133.25144505123518,133.25144505123518,0.0,0.0,0.0,692.2962969685389
35,2021-09-06,561.0509157179761,-10118.342242861923,11572.505010617042,561.0509157179761,561.0509157179761,-68.19381616582146,-68.19381616582146,-68.19381616582146,-68.19381616582146,-68.19381616582146,-68.19381616582146,0.0,0.0,0.0,492.85709955215464
36,2021-09-13,563.0569795186485,-11110.153790784432,11766.70961165497,563.0569795186485,563.0569795186485,-266.629943574884,-266.629943574884,-266.629943574884,-266.629943574884,-266.629943574884,-266.629943574884,0.0,0.0,0.0,296.4270359437645
37,2021-09-20,565.0629148462102,-11350.728853650542,10530.032458838405,565.0629148462102,565.0629148462102,-181.94828441076984,-181.94828441076984,-181.94828441076984,-181.94828441076984,-181.94828441076984,-181.94828441076984,0.0,0.0,0.0,383.1146304354404
38,2021-09-27,567.0688501737718,-10191.027986419316,11352.784520027517,567.0688501737718,567.0688501737718,166.50086948227218,166.50086948227218,166.50086948227218,166.50086948227218,166.50086948227218,166.50086948227218,0.0,0.0,0.0,733.569719656044
39,2021-10-04,569.0747855013335,-10565.404872382522,11410.485827023647,569.0747855013335,569.0747855013335,460.51598748703634,460.51598748703634,460.51598748703634,460.51598748703634,460.51598748703634,460.51598748703634,0.0,0.0,0.0,1029.5907729883697
40,2021-10-11,571.0807701994514,-9994.203018554092,11225.225711778729,571.0807701994514,571.0807701994514,385.9276863843028,385.9276863843028,385.9276863843028,385.9276863843028,385.9276863843028,385.9276863843028,0.0,0.0,0.0,957.0084565837542
41,2021-10-18,573.0867548975694,-10152.977387269557,10313.897225766572,573.0867548975694,573.0867548975694,-76.65714193568238,-76.65714193568238,-76.65714193568238,-76.65714193568238,-76.65714193568238,-76.65714193568238,0.0,0.0,0.0,496.4296129618871
42,2021-10-25,575.0927395956874,-11306.247334173631,10964.85858586245,575.0927395956874,575.0927395956874,-617.7511607056789,-617.7511607056789,-617.7511607056789,-617.7511607056789,-617.7511607056789,-617.7511607056789,0.0,0.0,0.0,-42.65842110999154
43,2021-11-01,577.0987242938054,-11232.62487059209,11005.532377903139,577.0987242938054,577.0987242938054,-809.3263582369825,-809.3263582369825,-809.3263582369825,-809.3263582369825,-809.3263582369825,-809.3263582369825,0.0,0.0,0.0,-232.22763394317712
44,2021-11-08,579.1047089919233,-10578.38868773416,10861.940315872409,579.1047089919233,579.1047089919233,-392.20778449176066,-392.20778449176066,-392.20778449176066,-392.20778449176066,-392.20778449176066,-392.20778449176066,0.0,0.0,0.0,186.89692450016264
45,2021-11-15,581.1106936900413,-10736.030253250123,12171.01628619171,581.1106936900413,581.1106936900413,522.4215110264789,522.4215110264789,522.4215110264789,522.4215110264789,522.4215110264789,522.4215110264789,0.0,0.0,0.0,1103.5322047165203
46,2021-11-22,583.116487176249,-8570.380278530049,12721.775785473657,583.116487176249,583.116487176249,1453.193456243113,1453.193456243113,1453.193456243113,1453.193456243113,1453.193456243113,1453.193456243113,0.0,0.0,0.0,2036.3099434193618
47,2021-11-29,585.1222806624568,-8549.95878828698,13455.113759946862,585.1222806624568,585.1222806624568,1804.5639621624466,1804.5639621624466,1804.5639621624466,1804.5639621624466,1804.5639621624466,1804.5639621624466,0.0,0.0,0.0,2389.6862428249033
48,2021-12-06,587.1280741486645,-8859.695935827938,13788.976866689243,587.1280741486645,587.1280741486645,1277.624670323977,1277.624670323977,1277.624670323977,1277.624670323977,1277.624670323977,1277.624670323977,0.0,0.0,0.0,1864.7527444726416
49,2021-12-13,589.1341409272843,-10063.155511925492,11442.821429497906,589.1341409272843,589.1341409272843,139.57142612652325,139.57142612652325,139.57142612652325,139.57142612652325,139.57142612652325,139.57142612652325,0.0,0.0,0.0,728.7055670538075
50,2021-12-20,591.1402077059042,-11386.081557613637,10159.95187495363,591.1402077059042,591.1402077059042,-931.6592320519281,-931.6592320519281,-931.6592320519281,-931.6592320519281,-931.6592320519281,-931.6592320519281,0.0,0.0,0.0,-340.5190243460239
51,2022-01-03,595.152341263144,-11667.88699867132,11582.486025617885,595.152341263144,595.152341263144,-1142.254620448876,-1142.254620448876,-1142.254620448876,-1142.254620448876,-1142.254620448876,-1142.254620448876,0.0,0.0,0.0,-547.1022791857321
52,2022-01-10,597.1584080417638,-11857.164705469297,10494.954227518943,597.1584080417638,597.1584080417638,-704.4311894698768,-704.4311894698768,-704.4311894698768,-704.4311894698768,-704.4311894698768,-704.4311894698768,0.0,0.0,0.0,-107.27278142811303
53,2022-01-17,599.1644748203837,-10493.266352930032,10988.202022224457,599.1644748203837,599.1644748203837,-473.6801094620919,-473.6801094620919,-473.6801094620919,-473.6801094620919,-473.6801094620919,-473.6801094620919,0.0,0.0,0.0,125.48436535829183
54,2022-01-24,601.1698744711317,-10691.2661626456,11228.391365809508,601.1698744711317,601.1698744711317,-451.6854891742703,-451.6854891742703,-451.6854891742703,-451.6854891742703,-451.6854891742703,-451.6854891742703,0.0,0.0,0.0,149.48438529686143
55,2022-01-31,603.1752741218796,-10813.802754609236,11325.665932651136,603.1752741218796,603.1752741218796,-348.9137581025137,-348.9137581025137,-348.9137581025137,-348.9137581025137,-348.9137581025137,-348.9137581025137,0.0,0.0,0.0,254.2615160193659
56,2022-02-07,605.1806737726275,-10058.117238020524,11938.702642665694,605.1806737726275,605.1806737726275,-36.18261848744518,-36.18261848744518,-36.18261848744518,-36.18261848744518,-36.18261848744518,-36.18261848744518,0.0,0.0,0.0,568.9980552851823
57,2022-02-14,607.1854670935245,-10356.215898840317,11953.17885562933,607.1854670935245,607.1854670935245,250.25559250767748,250.25559250767748,250.25559250767748,250.25559250767748,250.25559250767748,250.25559250767748,0.0,0.0,0.0,857.4410596012019
58,2022-02-21,609.1902604144213,-10365.611348410772,11827.545862119427,609.1902604144213,609.1902604144213,208.52302025103043,208.52302025103043,208.52302025103043,208.52302025103043,208.52302025103043,208.52302025103043,0.0,0.0,0.0,817.7132806654517
59,2022-02-28,611.1950537353181,-10437.404904983794,11399.832738791654,611.1950537353181,611.1950537353181,-105.37863094140693,-105.37863094140693,-105.37863094140693,-105.37863094140693,-105.37863094140693,-105.37863094140693,0.0,0.0,0.0,505.81642279391116
60,2022-03-07,613.1997445184107,-11381.101010082666,11109.315492333677,613.1997445184107,613.1997445184107,-289.7034177500727,-289.7034177500727,-289.7034177500727,-289.7034177500727,-289.7034177500727,-289.7034177500727,0.0,0.0,0.0,323.49632676833806
