,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-01,308817.96368932,-45094.41272690485,77843.1481647978,308817.96368932,308817.96368932,-289826.01279067935,-289826.01279067935,-289826.01279067935,-289826.01279067935,-289826.01279067935,-289826.01279067935,0.0,0.0,0.0,18991.950898640673
1,2021-02-01,311283.8172012109,52144.58236552613,171207.02971604437,311283.8172012109,311283.8172012109,-199651.24437666274,-199651.24437666274,-199651.24437666274,-199651.24437666274,-199651.24437666274,-199651.24437666274,0.0,0.0,0.0,111632.57282454814
2,2021-03-01,313511.03972718824,206864.21628554777,324006.0332700375,313511.03972718824,313511.03972718824,-47513.79281991467,-47513.79281991467,-47513.79281991467,-47513.79281991467,-47513.79281991467,-47513.79281991467,0.0,0.0,0.0,265997.24690727354
3,2021-04-01,315976.89323725144,144713.74550728724,263317.22125741007,315976.89323725144,315976.89323725144,-107949.2724041658,-107949.2724041658,-107949.2724041658,-107949.2724041658,-107949.2724041658,-107949.2724041658,0.0,0.0,0.0,208027.62083308565
4,2021-05-01,318363.2030869426,25183.422753790972,143918.75342075835,318363.2030869426,318363.2030869426,-233456.58103942417,-233456.58103942417,-233456.58103942417,-233456.58103942417,-233456.58103942417,-233456.58103942417,0.0,0.0,0.0,84906.62204751844
5,2021-06-01,320829.05659717036,333804.5584566778,453244.4185073923,320829.05659717036,320829.05659717036,72071.81111890129,72071.81111890129,72071.81111890129,72071.81111890129,72071.81111890129,72071.81111890129,0.0,0.0,0.0,392900.86771607166
6,2021-07-01,323215.3664470699,171381.3084606979,289958.2561821679,323215.3664470699,323215.3664470699,-94013.72836671805,-94013.72836671805,-94013.72836671805,-94013.72836671805,-94013.72836671805,-94013.72836671805,0.0,0.0,0.0,229201.63808035187
7,2021-08-01,325681.2199580547,5014.008023347217,126760.78323880084,325681.2199580547,325681.2199580547,-257956.3604651374,-257956.3604651374,-257956.3604651374,-257956.3604651374,-257956.3604651374,-257956.3604651374,0.0,0.0,0.0,67724.85949291731
8,2021-09-01,328147.0734683455,204379.25956886818,324877.0249947386,328147.0734683455,328147.0734683455,-62699.26555168329,-62699.26555168329,-62699.26555168329,-62699.26555168329,-62699.26555168329,-62699.26555168329,0.0,0.0,0.0,265447.8079166622
9,2021-10-01,330533.38331679197,232088.04816408682,352340.06613065733,330533.38331679197,330533.38331679197,-38587.71614740242,-38587.71614740242,-38587.71614740242,-38587.71614740242,-38587.71614740242,-38587.71614740242,0.0,0.0,0.0,291945.66716938955
