,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-01-10,49227.0298341,-138530.97786049984,116812.69708253587,49227.0298341,49227.0298341,-61047.74884576597,-61047.74884576597,-61047.74884576597,-61047.74884576597,-61047.74884576597,-61047.74884576597,0.0,0.0,0.0,-11820.71901166597
1,2021-01-17,49338.08081938811,-136763.23053846587,125692.55301826152,49338.08081938811,49338.08081938811,-50055.45615481598,-50055.45615481598,-50055.45615481598,-50055.45615481598,-50055.45615481598,-50055.45615481598,0.0,0.0,0.0,-717.3753354278742
2,2021-01-24,49449.131804676224,-133565.94341080592,132827.08786389258,49449.131804676224,49449.131804676224,-47554.120060517365,-47554.120060517365,-47554.120060517365,-47554.120060517365,-47554.120060517365,-47554.120060517365,0.0,0.0,0.0,1895.011744158859
3,2021-01-31,49560.18278996433,-131847.72212256142,136054.39898500757,49560.18278996433,49560.18278996433,-41418.209057002285,-41418.209057002285,-41418.209057002285,-41418.209057002285,-41418.209057002285,-41418.209057002285,0.0,0.0,0.0,8141.9737329620475
4,2021-02-07,49671.23377525245,-100298.84013162978,170854.90263933936,49671.23377525245,49671.23377525245,-16688.99697044921,-16688.99697044921,-16688.99697044921,-16688.99697044921,-16688.99697044921,-16688.99697044921,0.0,0.0,0.0,32982.23680480324
5,2021-02-14,49782.28476054056,-70255.53059439585,199504.38976310918,49782.28476054056,49782.28476054056,19241.183540890885,19241.183540890885,19241.183540890885,19241.183540890885,19241.183540890885,19241.183540890885,0.0,0.0,0.0,69023.46830143145
6,2021-02-21,49893.33574278268,-38548.88027490037,214509.17171877713,49893.33574278268,49893.33574278268,39141.408934282495,39141.408934282495,39141.408934282495,39141.408934282495,39141.408934282495,39141.408934282495,0.0,0.0,0.0,89034.74467706517
7,2021-02-28,50004.3867250248,-57636.24847938856,220774.83880454232,50004.3867250248,50004.3867250248,26221.10131517631,26221.10131517631,26221.10131517631,26221.10131517631,26221.10131517631,26221.10131517631,0.0,0.0,0.0,76225.4880402011
8,2021-03-07,50115.437707266916,-79691.66085861028,177313.92840708562,50115.437707266916,50115.437707266916,-3284.256879867446,-3284.256879867446,-3284.256879867446,-3284.256879867446,-3284.256879867446,-3284.256879867446,0.0,0.0,0.0,46831.18082739947
9,2021-03-14,50226.48868950903,-100129.70887916039,167841.669599672,50226.48868950903,50226.48868950903,-15044.159639201944,-15044.159639201944,-15044.159639201944,-15044.159639201944,-15044.159639201944,-15044.159639201944,0.0,0.0,0.0,35182.32905030709
10,2021-03-21,50337.674860402,-79730.71148373159,191445.3383216468,50337.674860402,50337.674860402,4753.0545770814815,4753.0545770814815,4753.0545770814815,4753.0545770814815,4753.0545770814815,4753.0545770814815,0.0,0.0,0.0,55090.72943748348
11,2021-03-28,50448.861031294975,-57154.23670762945,215160.82569584457,50448.861031294975,50448.861031294975,31647.097858445402,31647.097858445402,31647.097858445402,31647.097858445402,31647.097858445402,31647.097858445402,0.0,0.0,0.0,82095.95888974037
