,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,18 days,638035974.6105667,25259.373994827478,20540.914531251525,9.203974064249497,8.754628439507764,1.5236588887726974,1.0
1,19 days,959117658.4568094,30969.6247710044,28207.89177008422,13.66912384211624,12.178111469662197,1.6581583552860437,1.0
2,25 days,1906253486.5612044,43660.66291939696,38104.86031886374,15.98343368237686,15.126529726380099,1.75546210572331,1.0
3,26 days,3013287450.0267234,54893.4190047106,49945.31999462926,23.50277286913886,20.79481385629663,1.796435579781805,1.0
4,32 days,4081359754.3733544,63885.52069423364,61987.16066997436,23.004104919826233,20.79481385629663,1.7739849650236437,1.0
5,33 days,4803611396.231962,69308.09040964815,67888.94349992932,21.717386995625127,15.126529726380099,1.7601845707190378,1.0
6,39 days,5397960322.777628,73470.81272707978,73403.17406016185,21.326575094855986,15.126529726380099,1.7574855164578298,1.0
7,40 days,4753178454.650599,68943.29883788996,67930.65920774847,31.50700400938469,21.109025416192633,1.804196672353455,1.0
8,46 days,40939378977.92162,202334.81899545027,139092.36179011018,21.732041067668387,14.361224235291095,1.7469161000301796,0.8
9,47 days,51338732677.898994,226580.52140000692,172176.76488661632,20.673398761272963,14.361224235291095,1.8190050548792722,0.6
10,53 days,50503113261.51562,224728.97735164376,164961.35770113464,20.71645172507229,14.576489054287721,1.8196400270582735,0.6
11,54 days,49629313335.99593,222776.3751747387,154332.96879436108,17.339512258993985,4.224328085801117,1.7257306065943585,0.6
12,60 days,49947690470.80307,223489.79947819334,157349.55454797987,7.323231162432263,4.224328085801117,1.681155579151898,0.6
13,61 days,13709419761.836178,117087.23142100584,85842.95618121697,15.22386071290794,14.576489054287721,1.73502115453307,0.8
14,67 days,3231446266.5688796,56845.81133706229,52220.86240052765,15.606641748556331,14.576489054287721,1.5959015314550296,1.0
15,68 days,5290183613.982713,72733.64843030159,66049.39465306097,12.78091061093268,4.224328085801117,1.3595712354039997,1.0
16,74 days,7693238402.442403,87711.10763433787,85256.97338565862,23.70547624510082,15.94726881621501,1.4749514672485886,1.0
17,75 days,10748688297.000881,103675.88098010492,100700.71719759432,31.189774109533694,40.40314044726909,1.5050779134532217,0.8
18,81 days,13917591351.096426,117972.84158269828,115042.39668396807,23.229836014750237,2.881982339209456,1.2967846430439425,0.6
19,82 days,14444330058.986729,120184.56664225539,118334.7067965782,29.090950016805408,32.18755234948532,1.4372521735554193,0.6
20,88 days,12739061801.853764,112867.45235830285,108120.24030780737,39.04246243928888,50.20539547858685,1.7065195074094004,0.6
21,89 days,10388507934.805532,101924.03021273017,90358.85639795495,27.612211352463326,32.18755234948532,1.5032111800665098,0.6
22,95 days,6717911526.184569,81962.86675186861,67593.37311442758,17.667809672632586,3.646749739225654,1.3759853402754172,0.8
23,96 days,12499471336.137407,111801.034593323,83191.52376613638,17.73105191074061,3.646749739225654,1.5436535535734355,0.8
24,102 days,11120156324.096138,105452.15182297675,71503.7107159537,14.95512911620014,3.646749739225654,1.5276604213106375,0.8
25,103 days,10877021904.934568,104292.96191466885,69170.55188145801,8.496801256240477,3.646749739225654,1.5028112732223247,0.8
26,109 days,11414477868.444464,106838.55983887309,76061.86599931549,14.623803684751508,17.913756178788535,1.695964684377595,0.8
27,110 days,16890942948.323612,129965.16051743872,104754.12829822373,14.02808005270387,17.913756178788535,1.6382990410117273,0.6
28,116 days,8111862028.692044,90065.8760502114,75921.52167590047,24.296099131284517,18.307938376782975,1.6830467330884684,0.8
29,117 days,9384497116.238703,96873.61413841596,86994.02368857141,42.46772320012807,32.3309129650692,1.7152437539954797,0.8
30,123 days,9970375609.889034,99851.7681860919,91981.15273982043,41.57806562036677,32.3309129650692,1.7036888427329235,0.8
31,124 days,9729518268.59971,98638.32048752508,89583.58612944248,35.652555409625165,13.465468279982051,1.5569003566070183,0.8
32,130 days,4549688185.711851,67451.37645527963,65194.991871254155,48.72249508173024,52.25975655679516,1.7562404210018059,1.0
33,131 days,3500390298.161747,59164.096360560994,56030.89390634266,39.553331523839454,13.465468279982051,1.6759039920407575,1.0
34,137 days,12625127443.785084,112361.59238719022,84989.73844510797,17.905719189205026,6.413938767341245,1.6293670347749472,0.8
35,138 days,19755382311.457966,140553.84132587045,111107.5967091575,15.375606221315408,2.7033619113611453,1.5561456595922034,0.6
36,144 days,19502693753.70348,139652.0452900833,107526.77103921138,16.36538988348578,6.413938767341245,1.643354789316961,0.6
37,145 days,19982885251.63363,141360.83351350765,111818.00392483168,11.918012725086527,6.413938767341245,1.6258802698439196,0.6
38,151 days,20993158366.459297,144890.1596605487,120736.80958646009,19.18251857946745,7.6522802222129975,1.7030780885125605,0.6
39,152 days,11537018516.251102,107410.5139930496,89705.90494784954,22.504034072746016,17.5355745142214,1.715860554089243,0.8
40,158 days,5842418361.056304,76435.71391081727,71481.4338600699,22.43198764370083,17.5355745142214,1.5584992875778108,1.0
41,159 days,6596188499.692342,81216.9224958219,79575.07231707763,35.94650649332887,42.73646803924587,1.6310219011663036,1.0
42,165 days,9578272049.809587,97868.64691927434,94064.86983253344,37.98794013289398,42.73646803924587,1.6342076731447785,0.8
43,166 days,8774718583.968159,93673.46787627839,87686.20543116707,31.38972191189608,17.5355745142214,1.5839782704342729,0.8
44,172 days,9544364315.962458,97695.2625052129,92161.99809631208,34.97258793782811,35.44990464388154,1.6035673331317675,0.8
45,173 days,14502316113.915623,120425.56254348834,108517.98857644976,35.03720141166777,35.44990464388154,1.7404026293561845,0.6
46,179 days,13814017481.272528,117533.04846413423,101547.74640143334,20.490060216928523,9.745376934256338,1.5725552642986824,0.6
